,Title,Author,ID,Created,Original_Title,Without_stopwords,Lemmatized_Words,Pos_tags
46,"['no', 'multiple', 'profile', 'support', 'is', 'a', 'seriously', 'flawed', 'decision']",super-ratman,1ai4re3,2024-02-03 20:01:56,No multiple profile support is a seriously flawed decision,"['multiple', 'profile', 'support', 'seriously', 'flawed', 'decision']","['multiple', 'profile', 'support', 'seriously', 'flawed', 'decision']","[('[', 'JJ'), (""'multiple"", 'NNP'), (""'"", 'POS'), (',', ','), (""'profile"", 'IN'), (""'"", ""''""), (',', ','), (""'support"", 'NNP'), (""'"", 'POS'), (',', ','), (""'seriously"", 'RB'), (""'"", ""''""), (',', ','), (""'flawed"", 'VBD'), (""'"", ""''""), (',', ','), (""'decision"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
47,"['wow', 'this', 'is', 'the', 'future']",AttornityLeave,1atd31o,2024-02-17 21:39:03,...WOW. This is the future!,"['wow', 'future']","['wow', 'future']","[('[', 'JJ'), (""'wow"", 'NNP'), (""'"", 'POS'), (',', ','), (""'future"", 'NN'), (""'"", 'POS'), (']', 'NN')]"
48,"['guest', 'mode', 'sucks', 'we', 'need', 'true', 'multi', 'user', 'ability']",tangoshukudai,1ajjxc5,2024-02-05 16:01:25,"Guest mode sucks, we need true multi user ability.","['guest', 'mode', 'sucks', 'need', 'true', 'multi', 'user', 'ability']","['guest', 'mode', 'sucks', 'need', 'true', 'multi', 'user', 'ability']","[('[', 'RB'), (""'guest"", 'JJS'), (""'"", ""''""), (',', ','), (""'mode"", 'NNP'), (""'"", 'POS'), (',', ','), (""'sucks"", 'NNS'), (""'"", 'POS'), (',', ','), (""'need"", ""''""), (""'"", ""''""), (',', ','), (""'true"", ""''""), (""'"", ""''""), (',', ','), (""'multi"", 'NNP'), (""'"", 'POS'), (',', ','), (""'user"", 'NNP'), (""'"", 'POS'), (',', ','), (""'ability"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
49,"['huge', 'safari', 'update']",Old_Possible8977,1as51u2,2024-02-16 10:01:31,HUGE SAFARI UPDATE!,"['huge', 'safari', 'update']","['huge', 'safari', 'update']","[('[', 'RB'), (""'huge"", 'MD'), (""'"", ""''""), (',', ','), (""'safari"", 'NNP'), (""'"", 'POS'), (',', ','), (""'update"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
50,"['is', 'anyone', 'finding', 'theyre', 'dreaming', 'more']",kongtaili,1b3wiat,2024-03-01 15:08:12,Is anyone finding they’re dreaming more?,"['anyone', 'finding', 'theyre', 'dreaming']","['anyone', 'finding', 'theyre', 'dreaming']","[('[', 'RB'), (""'anyone"", 'CD'), (""'"", ""''""), (',', ','), (""'finding"", 'VBG'), (""'"", ""''""), (',', ','), (""'theyre"", 'NNP'), (""'"", 'POS'), (',', ','), (""'dreaming"", 'VBG'), (""'"", ""''""), (']', 'NN')]"
51,"['vision', 'pro', 'app', 'development', 'goes', 'hard']",TomatilloSorry9784,1ana8ji,2024-02-10 06:47:56,Vision Pro app development goes hard.,"['vision', 'pro', 'app', 'development', 'goes', 'hard']","['vision', 'pro', 'app', 'development', 'goes', 'hard']","[('[', 'JJ'), (""'vision"", 'NN'), (""'"", ""''""), (',', ','), (""'pro"", 'NNP'), (""'"", 'POS'), (',', ','), (""'app"", 'NNP'), (""'"", 'POS'), (',', ','), (""'development"", 'NNP'), (""'"", 'POS'), (',', ','), (""'goes"", 'NNS'), (""'"", 'POS'), (',', ','), (""'hard"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
52,"['this', 'feels', 'like', 'the', 'start', 'of', 'a', 'technodystopian', 'cyberpunk', 'future', 'but', 'shut', 'up', 'and', 'take', 'my']",MishyJari,141pk0f,2023-06-05 19:48:41,"This feels like the start of a techno-dystopian cyberpunk future, but shut up and take my $3499.","['feels', 'like', 'start', 'technodystopian', 'cyberpunk', 'future', 'shut', 'take']","['feels', 'like', 'start', 'technodystopian', 'cyberpunk', 'future', 'shut', 'take']","[('[', 'JJ'), (""'feels"", 'NNS'), (""'"", 'POS'), (',', ','), (""'like"", 'IN'), (""'"", ""''""), (',', ','), (""'start"", 'NNP'), (""'"", 'POS'), (',', ','), (""'technodystopian"", 'JJ'), (""'"", ""''""), (',', ','), (""'cyberpunk"", 'NNP'), (""'"", 'POS'), (',', ','), (""'future"", 'NN'), (""'"", ""''""), (',', ','), (""'shut"", 'NNP'), (""'"", 'POS'), (',', ','), (""'take"", 'VBP'), (""'"", 'POS'), (']', 'NN')]"
53,"['demo', 'was', 'amazing']",Disastrous_Cup8248,1ah668e,2024-02-02 15:21:50,Demo was amazing!!!!!,"['demo', 'amazing']","['demo', 'amazing']","[('[', 'JJ'), (""'demo"", 'NNP'), (""'"", 'POS'), (',', ','), (""'amazing"", 'VBG'), (""'"", ""''""), (']', 'NN')]"
54,['beta'],schristo43,1aq4y10,2024-02-13 21:22:18,1.1 Beta 2,['beta'],['beta'],"[('[', 'JJ'), (""'beta"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
55,"['lack', 'of', 'immersive', 'content']",Impressive-Maize1035,1ap8mhy,2024-02-12 19:32:59,Lack of Immersive Content,"['lack', 'immersive', 'content']","['lack', 'immersive', 'content']","[('[', 'JJ'), (""'lack"", 'NNP'), (""'"", 'POS'), (',', ','), (""'immersive"", 'CD'), (""'"", ""''""), (',', ','), (""'content"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
56,"['first', 'meme']",bigfatimac,141o2o6,2023-06-05 18:45:41,First meme,"['first', 'meme']","['first', 'meme']","[('[', 'RB'), (""'first"", 'NNP'), (""'"", 'POS'), (',', ','), (""'meme"", ""''""), (""'"", 'POS'), (']', 'NN')]"
57,"['calling', 'all', 'apple', 'vision', 'pro', 'owners', 'connect', 'and', 'collaborate', 'with', 'each', 'other']",Ok_Presentation2777,1b5584u,2024-03-03 01:51:34,Calling All Apple Vision Pro Owners: Connect and Collaborate with each other.,"['calling', 'apple', 'vision', 'pro', 'owners', 'connect', 'collaborate']","['calling', 'apple', 'vision', 'pro', 'owners', 'connect', 'collaborate']","[('[', 'RB'), (""'calling"", 'VBG'), (""'"", ""''""), (',', ','), (""'apple"", ""''""), (""'"", ""''""), (',', ','), (""'vision"", 'NNP'), (""'"", 'POS'), (',', ','), (""'pro"", 'NNP'), (""'"", 'POS'), (',', ','), (""'owners"", 'NNS'), (""'"", 'POS'), (',', ','), (""'connect"", 'NNP'), (""'"", 'POS'), (',', ','), (""'collaborate"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
58,"['im', 'trying', 'not', 'to', 'justify', 'about', 'keeping', 'the', 'avp', 'because', 'i', 'already', 'know', 'im', 'keeping', 'this', 'but', 'the', 'more', 'i', 'used', 'this', 'the', 'more', 'i', 'love', 'this', 'device', 'i', 'am', 'continually', 'amazed', 'how', 'good', 'this', 'is', 'with', 'multitasking']",cr8tvt,1b4qrea,2024-03-02 15:26:14,"I’m trying not to justify about keeping the AVP because I already know I’m keeping this, but the more I used this the more I love this device. I am continually amazed how good this is with multitasking.","['im', 'trying', 'justify', 'keeping', 'avp', 'already', 'know', 'im', 'keeping', 'used', 'love', 'device', 'continually', 'amazed', 'good', 'multitasking']","['im', 'trying', 'justify', 'keeping', 'avp', 'already', 'know', 'im', 'keeping', 'used', 'love', 'device', 'continually', 'amazed', 'good', 'multitasking']","[('[', 'JJ'), (""'im"", 'NNP'), (""'"", 'POS'), (',', ','), (""'trying"", 'VBG'), (""'"", ""''""), (',', ','), (""'justify"", ""''""), (""'"", ""''""), (',', ','), (""'keeping"", 'VBG'), (""'"", ""''""), (',', ','), (""'avp"", 'NNP'), (""'"", 'POS'), (',', ','), (""'already"", ""''""), (""'"", ""''""), (',', ','), (""'know"", 'NNP'), (""'"", 'POS'), (',', ','), (""'im"", 'NNP'), (""'"", 'POS'), (',', ','), (""'keeping"", 'VBG'), (""'"", ""''""), (',', ','), (""'used"", 'VBD'), (""'"", ""''""), (',', ','), (""'love"", 'NNP'), (""'"", 'POS'), (',', ','), (""'device"", 'NNP'), (""'"", 'POS'), (',', ','), (""'continually"", 'RB'), (""'"", 'POS'), (',', ','), (""'amazed"", 'VBN'), (""'"", ""''""), (',', ','), (""'good"", 'NNP'), (""'"", 'POS'), (',', ','), (""'multitasking"", 'VBG'), (""'"", ""''""), (']', 'NN')]"
59,"['after', 'watching', 'reviews']",DarthChiropractus,1aet1gn,2024-01-30 16:52:08,After watching reviews…,"['watching', 'reviews']","['watching', 'reviews']","[('[', 'RB'), (""'watching"", 'VBG'), (""'"", ""''""), (',', ','), (""'reviews"", 'NNS'), (""'"", 'POS'), (']', 'NN')]"
